Sleep Stage,MeanP_Alpha_F4,MeanP_Beta_F4,MeanP_Theta_F4,MeanP_Delta_F4,MeanP_Gamma_F4,MeanP_Alpha_C4,MeanP_Beta_C4,MeanP_Theta_C4,MeanP_Delta_C4,MeanP_Gamma_C4,MeanP_Alpha_O2,MeanP_Beta_O2,MeanP_Theta_O2,MeanP_Delta_O2,MeanP_Gamma_O2,Total_P_F4,Total_P_C4,Total_P_O2,Relative_MeanP_Alpha_F4,Relative_MeanP_Beta_F4,Relative_MeanP_Theta_F4,Relative_MeanP_Delta_F4,Relative_MeanP_Gamma_F4,Relative_MeanP_Alpha_C4,Relative_MeanP_Beta_C4,Relative_MeanP_Theta_C4,Relative_MeanP_Delta_C4,Relative_MeanP_Gamma_C4,Relative_MeanP_Alpha_O2,Relative_MeanP_Beta_O2,Relative_MeanP_Theta_O2,Relative_MeanP_Delta_O2,Relative_MeanP_Gamma_O2,Relative_MeanP_Alpha_G,Relative_MeanP_Beta_G,Relative_MeanP_Theta_G,Relative_MeanP_Delta_G,Relative_MeanP_Gamma_G,DAR_F4,DAR_C4,DAR_O2,DAR_G,DTR_F4,DTR_O2,DTABR_F4,DTABR_C4,DTABR_O2,DTABR_G,P_G
N3,0.00085,0.00052,0.0016,0.0158,4.69e-05,0.00091,0.00059,0.00182,0.0154,3.28e-05,0.00038,0.0002,0.00098,0.00641,2.67e-05,0.0188,0.0188,0.008,0.0452,0.0277,0.0851,0.84,0.0025,0.0484,0.0314,0.0969,0.821,0.00175,0.0475,0.025,0.123,0.802,0.00334,0.141,0.0841,0.305,2.46,0.00758,18.6,17.0,16.9,17.5,9.86,6.54,12.7,11.5,12.7,12.3,0.0152
N3,0.00067,0.00039,0.00145,0.0169,4.15e-05,0.00076,0.00046,0.00196,0.0272,3.06e-05,0.00031,0.00017,0.00089,0.00743,2.58e-05,0.0195,0.0304,0.00883,0.0344,0.02,0.0744,0.869,0.00213,0.025,0.0151,0.0645,0.894,0.00101,0.0351,0.0193,0.101,0.842,0.00292,0.0945,0.0544,0.24,2.61,0.00606,25.3,35.8,24.0,28.3,11.7,8.35,17.3,23.9,17.3,19.5,0.0196
N3,0.00061,0.0004,0.00125,0.0126,4.38e-05,0.00075,0.00049,0.00176,0.0203,3.05e-05,0.00041,0.0002,0.00116,0.00549,2.64e-05,0.0149,0.0234,0.00729,0.0409,0.0268,0.0838,0.846,0.00293,0.0321,0.021,0.0753,0.87,0.00131,0.0563,0.0274,0.159,0.753,0.00362,0.129,0.0752,0.318,2.47,0.00786,20.7,27.1,13.4,20.4,10.1,4.73,13.7,17.8,10.9,14.2,0.0152
N3,0.00075,0.00043,0.0017,0.014,4.41e-05,0.0011,0.00069,0.00234,0.0188,3.51e-05,0.00042,0.00023,0.0012,0.00597,2.81e-05,0.0169,0.023,0.00785,0.0443,0.0254,0.1,0.827,0.0026,0.0479,0.03,0.102,0.819,0.00153,0.0535,0.0293,0.153,0.761,0.00358,0.146,0.0847,0.355,2.41,0.00771,18.7,17.1,14.2,16.7,8.25,4.98,13.3,11.8,11.0,12.1,0.0159
N3,0.00071,0.00044,0.0014,0.0131,4.29e-05,0.00085,0.0005,0.00213,0.0252,2.99e-05,0.00035,0.0002,0.00098,0.00576,2.65e-05,0.0157,0.0287,0.00732,0.0452,0.028,0.0892,0.835,0.00273,0.0297,0.0174,0.0743,0.878,0.00104,0.0478,0.0273,0.134,0.787,0.00362,0.123,0.0728,0.297,2.5,0.0074,18.5,29.6,16.5,21.5,9.36,5.88,12.6,20.2,12.3,15.0,0.0172
N3,0.00083,0.00051,0.00154,0.0165,4.51e-05,0.00098,0.00065,0.00187,0.0219,3.53e-05,0.00036,0.00021,0.00091,0.00614,2.67e-05,0.0195,0.0254,0.00765,0.0427,0.0262,0.0792,0.85,0.00232,0.0385,0.0256,0.0735,0.861,0.00139,0.0471,0.0275,0.119,0.803,0.00349,0.128,0.0792,0.272,2.51,0.0072,19.9,22.3,17.1,19.8,10.7,6.75,13.5,14.6,12.4,13.5,0.0175
N3,0.0008,0.00047,0.00157,0.0228,4.4e-05,0.00107,0.00067,0.00214,0.0366,3.4e-05,0.00032,0.00019,0.00078,0.0073,2.62e-05,0.0257,0.0405,0.00862,0.0312,0.0183,0.0612,0.888,0.00171,0.0264,0.0165,0.0528,0.903,0.000839,0.0371,0.0221,0.0905,0.847,0.00304,0.0947,0.0569,0.204,2.64,0.00559,28.5,34.2,22.8,28.5,14.5,9.36,19.2,22.3,15.8,19.1,0.0249
N3,0.00077,0.00045,0.00154,0.0137,4.45e-05,0.00092,0.00054,0.00196,0.0174,3.12e-05,0.00032,0.00018,0.00089,0.00669,2.63e-05,0.0165,0.0209,0.00811,0.0466,0.0272,0.0933,0.83,0.00269,0.0441,0.0259,0.0939,0.835,0.00149,0.0395,0.0222,0.11,0.825,0.00324,0.13,0.0753,0.297,2.49,0.00743,17.8,18.9,20.9,19.2,8.9,7.52,12.5,13.3,15.2,13.6,0.0152
N3,0.00072,0.00044,0.00132,0.016,4.35e-05,0.00102,0.00065,0.00197,0.0199,3.48e-05,0.00042,0.00021,0.00118,0.00604,2.65e-05,0.0185,0.0236,0.00788,0.039,0.0238,0.0715,0.863,0.00235,0.0433,0.0276,0.0836,0.844,0.00148,0.0533,0.0267,0.15,0.767,0.00336,0.136,0.0781,0.305,2.47,0.0072,22.2,19.5,14.4,18.7,12.1,5.12,14.9,13.1,11.5,13.1,0.0166
N3,0.00062,0.00037,0.00143,0.0144,4.19e-05,0.00079,0.00049,0.00168,0.0178,2.98e-05,0.00035,0.00019,0.00101,0.00611,2.69e-05,0.0169,0.0207,0.00769,0.0368,0.0219,0.0848,0.854,0.00248,0.0381,0.0236,0.081,0.856,0.00144,0.0455,0.0247,0.131,0.795,0.0035,0.12,0.0703,0.297,2.5,0.00742,23.2,22.5,17.5,21.1,10.1,6.05,16.0,15.2,13.2,14.8,0.0151
N3,0.00065,0.00038,0.00142,0.0131,4.22e-05,0.0008,0.00044,0.00209,0.0211,2.8e-05,0.00029,0.00016,0.00079,0.00862,2.6e-05,0.0155,0.0244,0.00989,0.0418,0.0244,0.0914,0.84,0.00272,0.0327,0.018,0.0856,0.863,0.00115,0.0293,0.0162,0.0799,0.872,0.00263,0.104,0.0586,0.257,2.57,0.00649,20.1,26.3,29.7,25.4,9.19,10.9,14.0,18.7,20.9,17.9,0.0166
N3,0.00072,0.00037,0.002,0.028,4.28e-05,0.00082,0.00044,0.00214,0.0304,2.82e-05,0.00029,0.00016,0.00086,0.00957,2.56e-05,0.0311,0.0338,0.0109,0.0231,0.0119,0.0642,0.899,0.00137,0.0242,0.013,0.0633,0.899,0.000834,0.0266,0.0147,0.0789,0.878,0.00235,0.074,0.0396,0.206,2.68,0.00456,38.9,37.1,33.0,36.3,14.0,11.1,27.5,25.8,23.2,25.5,0.0253
N3,0.00064,0.00038,0.00135,0.0153,4.14e-05,0.00096,0.00056,0.00234,0.027,3.13e-05,0.00035,0.00018,0.00101,0.00841,2.58e-05,0.0177,0.0308,0.00998,0.0361,0.0214,0.0761,0.864,0.00233,0.0311,0.0182,0.0759,0.874,0.00101,0.0351,0.018,0.101,0.843,0.00259,0.102,0.0576,0.253,2.58,0.00593,24.0,28.1,24.0,25.4,11.4,8.33,16.4,19.3,17.8,17.8,0.0195
N3,0.0007,0.00041,0.00155,0.019,4.15e-05,0.0009,0.00056,0.002,0.0188,3.18e-05,0.00034,0.00019,0.00083,0.00561,2.49e-05,0.0217,0.0223,0.00699,0.0322,0.0189,0.0713,0.876,0.00191,0.0404,0.0252,0.0898,0.843,0.00143,0.0486,0.0272,0.119,0.802,0.00356,0.121,0.0712,0.28,2.52,0.0069,27.2,20.9,16.5,21.5,12.3,6.76,18.5,14.2,12.2,15.0,0.017
N3,0.00086,0.00049,0.00151,0.012,4.33e-05,0.00105,0.00064,0.00209,0.0232,3.31e-05,0.00032,0.00019,0.00085,0.00916,2.61e-05,0.0149,0.027,0.0105,0.0577,0.0329,0.101,0.805,0.00291,0.0389,0.0237,0.0775,0.859,0.00123,0.0303,0.018,0.0806,0.869,0.00247,0.127,0.0746,0.259,2.53,0.00661,13.9,22.1,28.6,21.5,7.94,10.8,10.0,14.9,19.6,14.9,0.0175
N3,0.00076,0.00047,0.00153,0.0121,4.53e-05,0.00094,0.00059,0.00202,0.0205,3.18e-05,0.00034,0.0002,0.00085,0.00571,2.68e-05,0.0149,0.0241,0.00713,0.051,0.0315,0.103,0.812,0.00304,0.039,0.0245,0.0839,0.851,0.00132,0.0477,0.0281,0.119,0.801,0.00376,0.138,0.0841,0.306,2.46,0.00812,15.9,21.8,16.8,18.2,7.91,6.72,11.1,14.7,12.1,12.6,0.0154
N3,0.00056,0.00035,0.00127,0.0154,4.22e-05,0.00082,0.00051,0.002,0.0184,2.98e-05,0.00041,0.0002,0.00117,0.00677,2.6e-05,0.0176,0.0217,0.00858,0.0318,0.0199,0.0721,0.874,0.00239,0.0377,0.0235,0.092,0.845,0.00137,0.0478,0.0233,0.136,0.789,0.00303,0.117,0.0666,0.3,2.51,0.0068,27.5,22.4,16.5,22.1,12.1,5.79,18.3,15.3,13.0,15.6,0.016
N3,0.00069,0.00038,0.0016,0.0219,4.26e-05,0.00082,0.00042,0.00243,0.0397,2.68e-05,0.00024,0.00014,0.00068,0.00864,2.45e-05,0.0246,0.0434,0.00972,0.0281,0.0155,0.0651,0.89,0.00173,0.0189,0.00968,0.056,0.915,0.000618,0.0247,0.0144,0.0699,0.888,0.00252,0.0717,0.0395,0.191,2.69,0.00487,31.7,48.4,36.0,38.7,13.7,12.7,21.9,34.0,24.5,26.8,0.0259
N3,0.0007,0.00043,0.00134,0.0133,4.33e-05,0.00082,0.00049,0.0018,0.0224,2.9e-05,0.00042,0.0002,0.00119,0.00521,2.63e-05,0.0158,0.0255,0.00705,0.0442,0.0271,0.0846,0.841,0.00273,0.0321,0.0192,0.0705,0.877,0.00114,0.0596,0.0284,0.169,0.739,0.00373,0.136,0.0747,0.324,2.46,0.0076,19.0,27.3,12.4,19.6,9.95,4.38,13.0,18.5,10.3,13.9,0.0161
N3,0.00063,0.00036,0.00149,0.0182,4.22e-05,0.0008,0.00046,0.00188,0.0204,3.01e-05,0.00034,0.00017,0.00098,0.00568,2.64e-05,0.0207,0.0235,0.0072,0.0304,0.0174,0.0718,0.878,0.00203,0.034,0.0195,0.0799,0.865,0.00128,0.0472,0.0236,0.136,0.789,0.00367,0.112,0.0605,0.288,2.53,0.00698,28.9,25.5,16.7,23.7,12.2,5.8,19.9,17.7,13.1,16.9,0.0172
N3,0.00064,0.00039,0.00125,0.0176,4.24e-05,0.00081,0.0005,0.0016,0.0158,2.93e-05,0.0003,0.00017,0.00083,0.00569,2.54e-05,0.0199,0.0187,0.00702,0.0321,0.0196,0.0628,0.883,0.00213,0.0433,0.0267,0.0855,0.843,0.00157,0.0428,0.0242,0.118,0.811,0.00362,0.118,0.0705,0.267,2.54,0.00732,27.5,19.5,19.0,22.0,14.1,6.86,18.3,13.3,13.9,15.1,0.0152
N3,0.00063,0.00037,0.00149,0.0148,4.07e-05,0.00085,0.00051,0.0019,0.0155,3.03e-05,0.00034,0.00018,0.001,0.00609,2.51e-05,0.0174,0.0188,0.00764,0.0363,0.0213,0.0858,0.854,0.00234,0.0452,0.0271,0.101,0.825,0.00161,0.0445,0.0236,0.131,0.798,0.00329,0.126,0.072,0.318,2.48,0.00724,23.6,18.2,17.9,19.9,9.96,6.09,16.3,12.8,13.6,14.3,0.0146
N3,0.00068,0.00041,0.0014,0.0218,4.17e-05,0.00101,0.00061,0.00244,0.0326,3.31e-05,0.00036,0.0002,0.00094,0.00694,2.63e-05,0.0243,0.0367,0.00847,0.0279,0.0168,0.0575,0.896,0.00171,0.0275,0.0166,0.0665,0.888,0.000903,0.0425,0.0236,0.111,0.82,0.00311,0.098,0.0571,0.235,2.6,0.00572,32.1,32.3,19.3,27.9,15.6,7.38,21.3,21.6,14.1,19.0,0.0232
N3,0.00072,0.00043,0.00142,0.0166,4.25e-05,0.00081,0.00048,0.00182,0.0219,2.91e-05,0.00038,0.00018,0.00103,0.00692,2.56e-05,0.0192,0.025,0.00854,0.0376,0.0224,0.0741,0.864,0.00222,0.0324,0.0192,0.0728,0.874,0.00116,0.0445,0.0211,0.121,0.811,0.003,0.114,0.0627,0.268,2.55,0.00638,23.0,27.0,18.2,22.7,11.7,6.72,15.6,18.4,14.2,16.1,0.0176
N3,0.00078,0.00046,0.00146,0.0204,4.4e-05,0.00089,0.00055,0.00187,0.0296,3.28e-05,0.00033,0.00017,0.00092,0.00651,2.58e-05,0.0232,0.0329,0.00796,0.0337,0.0198,0.063,0.882,0.0019,0.027,0.0167,0.0568,0.899,0.000996,0.0415,0.0214,0.116,0.818,0.00324,0.102,0.0579,0.235,2.6,0.00614,26.2,33.3,19.7,26.4,14.0,7.08,17.7,21.9,14.9,18.1,0.0214
N3,0.00062,0.00035,0.00152,0.0238,4.04e-05,0.00083,0.00044,0.00242,0.035,2.9e-05,0.00034,0.00017,0.00102,0.00989,2.48e-05,0.0264,0.0387,0.0114,0.0235,0.0133,0.0576,0.904,0.00153,0.0214,0.0114,0.0625,0.904,0.000749,0.0297,0.0149,0.0891,0.864,0.00217,0.0747,0.0395,0.209,2.67,0.00445,38.5,42.1,29.1,36.6,15.7,9.7,26.1,29.4,21.4,25.7,0.0255
N3,0.0008,0.00046,0.00146,0.0165,4.35e-05,0.00084,0.00048,0.00171,0.0192,2.97e-05,0.00032,0.00017,0.00084,0.00623,2.55e-05,0.0193,0.0223,0.00759,0.0416,0.0239,0.0758,0.856,0.00226,0.0377,0.0215,0.0768,0.863,0.00133,0.0422,0.0224,0.111,0.821,0.00336,0.121,0.0678,0.263,2.54,0.00695,20.6,22.9,19.5,21.0,11.3,7.42,14.2,15.9,14.4,14.8,0.0164
N3,0.00062,0.00037,0.0016,0.0247,4.18e-05,0.00085,0.00046,0.00242,0.0301,2.87e-05,0.00029,0.00016,0.00089,0.00677,2.57e-05,0.0273,0.0338,0.00814,0.0227,0.0135,0.0585,0.904,0.00153,0.0251,0.0136,0.0716,0.889,0.000849,0.0356,0.0197,0.109,0.832,0.00316,0.0835,0.0468,0.239,2.62,0.00554,39.9,35.4,23.3,32.9,15.4,7.61,26.6,24.8,17.0,22.8,0.0231
N3,0.00071,0.00043,0.00138,0.0191,4.15e-05,0.00102,0.00063,0.00207,0.0294,3.39e-05,0.00039,0.00021,0.00103,0.00669,2.56e-05,0.0216,0.0331,0.00835,0.0328,0.0199,0.0638,0.882,0.00192,0.0308,0.019,0.0625,0.887,0.00102,0.0467,0.0252,0.123,0.802,0.00307,0.11,0.0641,0.25,2.57,0.00601,26.9,28.8,17.2,24.3,13.8,6.5,17.9,19.0,12.9,16.6,0.021
N3,0.0008,0.00046,0.0016,0.0204,4.27e-05,0.00097,0.0006,0.00218,0.0247,3.36e-05,0.0003,0.00017,0.00084,0.00687,2.47e-05,0.0233,0.0285,0.0082,0.0344,0.0198,0.0688,0.875,0.00184,0.0341,0.0211,0.0766,0.867,0.00118,0.0366,0.0207,0.102,0.837,0.00301,0.105,0.0616,0.248,2.58,0.00603,25.4,25.4,22.9,24.6,12.7,8.18,17.4,17.1,16.4,17.0,0.02
N3,0.00066,0.00038,0.00155,0.021,4.1e-05,0.00072,0.00042,0.00164,0.0321,2.81e-05,0.0004,0.00019,0.00116,0.00817,2.59e-05,0.0236,0.0349,0.00995,0.028,0.0161,0.0657,0.888,0.00174,0.0206,0.012,0.047,0.92,0.000805,0.0402,0.0191,0.117,0.821,0.0026,0.0888,0.0472,0.229,2.63,0.00515,31.8,44.6,20.4,32.3,13.5,7.04,21.6,29.6,15.8,22.4,0.0228
N3,0.00061,0.00036,0.00152,0.022,4.04e-05,0.00079,0.00048,0.00176,0.0225,2.94e-05,0.00029,0.00016,0.00083,0.00803,2.38e-05,0.0245,0.0255,0.00933,0.0249,0.0147,0.0621,0.897,0.00165,0.0309,0.0188,0.0689,0.88,0.00115,0.0311,0.0171,0.0889,0.86,0.00255,0.0869,0.0506,0.22,2.64,0.00535,36.0,28.5,27.7,30.7,14.4,9.67,24.2,19.1,19.7,21.0,0.0198
N3,0.0006,0.00035,0.00162,0.022,4.16e-05,0.00066,0.00036,0.00185,0.0243,2.63e-05,0.00025,0.00014,0.00079,0.0087,2.52e-05,0.0247,0.0272,0.00991,0.0243,0.0142,0.0657,0.894,0.00169,0.0243,0.0133,0.0681,0.893,0.000968,0.0252,0.0141,0.0798,0.878,0.00254,0.0739,0.0416,0.214,2.67,0.0052,36.7,36.8,34.8,36.1,13.6,11.0,24.9,25.6,24.3,24.9,0.0206
N3,0.00082,0.00057,0.00175,0.0158,7.95e-05,0.00096,0.00065,0.002,0.0205,4.97e-05,0.00045,0.00028,0.00112,0.00738,4.11e-05,0.0191,0.0241,0.00927,0.043,0.0299,0.0918,0.831,0.00417,0.0398,0.027,0.083,0.848,0.00206,0.0485,0.0302,0.121,0.796,0.00443,0.131,0.0871,0.296,2.48,0.0107,19.3,21.3,16.4,19.0,9.05,6.59,12.7,13.9,11.6,12.7,0.0175
N3,0.00072,0.00038,0.00184,0.0219,3.92e-05,0.00076,0.00042,0.00215,0.0272,2.83e-05,0.0003,0.00016,0.00095,0.00712,2.47e-05,0.0248,0.0306,0.00855,0.029,0.0153,0.0741,0.88,0.00158,0.0249,0.0137,0.0703,0.89,0.000926,0.0351,0.0187,0.111,0.832,0.00289,0.0889,0.0477,0.255,2.6,0.00539,30.3,35.8,23.7,30.0,11.9,7.49,21.5,24.9,17.5,21.3,0.0213
N3,0.0006,0.00036,0.00128,0.0138,4.04e-05,0.0007,0.00043,0.0016,0.0216,2.86e-05,0.00028,0.00016,0.00076,0.00755,2.47e-05,0.0161,0.0244,0.00877,0.0373,0.0224,0.0796,0.858,0.00251,0.0287,0.0177,0.0657,0.887,0.00117,0.0319,0.0182,0.0866,0.86,0.00281,0.098,0.0583,0.232,2.61,0.0065,23.0,30.9,27.0,26.9,10.8,9.93,15.7,20.5,18.9,18.4,0.0164
N3,0.00072,0.00041,0.00157,0.0155,4.1e-05,0.00085,0.0005,0.00189,0.0219,3.11e-05,0.00034,0.00018,0.00098,0.00546,2.55e-05,0.0182,0.0252,0.00699,0.0396,0.0225,0.0863,0.849,0.00225,0.0337,0.0198,0.075,0.87,0.00123,0.0487,0.0258,0.14,0.782,0.00365,0.122,0.0681,0.302,2.5,0.00714,21.5,25.8,16.1,21.1,9.85,5.57,15.1,17.6,12.4,15.0,0.0168
N3,0.00072,0.0004,0.00174,0.023,4.3e-05,0.00098,0.00054,0.00273,0.036,3.31e-05,0.00033,0.00019,0.00094,0.0071,2.7e-05,0.0259,0.0403,0.00859,0.0278,0.0155,0.0673,0.888,0.00166,0.0243,0.0134,0.0678,0.894,0.000822,0.0384,0.0221,0.109,0.827,0.00314,0.0906,0.051,0.245,2.61,0.00563,31.9,36.7,21.5,30.0,13.2,7.55,22.1,25.5,15.5,21.0,0.0249
N3,0.00071,0.0004,0.00134,0.012,4.12e-05,0.00089,0.00054,0.00189,0.0149,3.14e-05,0.00032,0.00017,0.00085,0.0055,2.56e-05,0.0145,0.0182,0.00687,0.049,0.0276,0.0924,0.828,0.00284,0.0488,0.0296,0.104,0.816,0.00172,0.0466,0.0248,0.124,0.801,0.00373,0.144,0.082,0.32,2.45,0.00829,16.9,16.7,17.2,16.9,8.96,6.47,12.0,11.7,13.0,12.2,0.0132
N3,0.00068,0.0004,0.00144,0.0154,4.11e-05,0.00085,0.0005,0.00199,0.0287,3e-05,0.00033,0.00018,0.00086,0.00683,2.54e-05,0.018,0.032,0.00823,0.0378,0.0222,0.0801,0.858,0.00229,0.0265,0.0156,0.0621,0.895,0.000936,0.0401,0.0219,0.105,0.83,0.00309,0.104,0.0597,0.247,2.58,0.00631,22.7,33.7,20.7,25.7,10.7,7.94,15.6,22.7,15.1,17.8,0.0194
N3,0.00063,0.00038,0.00154,0.0232,4.01e-05,0.00087,0.00051,0.00202,0.0321,3.05e-05,0.00026,0.00015,0.00078,0.00864,2.43e-05,0.0258,0.0355,0.00985,0.0244,0.0147,0.0598,0.899,0.00156,0.0245,0.0144,0.0569,0.903,0.000859,0.0264,0.0152,0.0792,0.877,0.00247,0.0753,0.0443,0.196,2.68,0.00488,36.8,36.9,33.2,35.6,15.1,11.1,24.5,24.7,23.0,24.1,0.0237
N3,0.00068,0.0004,0.00137,0.0183,4.04e-05,0.00072,0.00043,0.00172,0.021,2.85e-05,0.00033,0.00016,0.00099,0.0068,2.36e-05,0.0208,0.0239,0.0083,0.0327,0.0192,0.0658,0.88,0.00194,0.0302,0.018,0.0721,0.879,0.00119,0.0397,0.0193,0.119,0.819,0.00284,0.103,0.0565,0.257,2.58,0.00598,26.9,29.1,20.6,25.6,13.4,6.87,18.2,19.7,15.9,18.0,0.0177
N3,0.0005,0.00031,0.00133,0.0166,4.02e-05,0.00059,0.00034,0.00145,0.0129,2.7e-05,0.00033,0.00016,0.00103,0.00659,2.48e-05,0.0188,0.0153,0.00813,0.0266,0.0165,0.0707,0.884,0.00214,0.0385,0.0222,0.0947,0.843,0.00176,0.0406,0.0197,0.127,0.81,0.00305,0.106,0.0584,0.292,2.54,0.00695,33.2,21.9,20.0,25.0,12.5,6.4,22.2,15.4,15.6,17.7,0.0141
N3,0.00073,0.00042,0.00171,0.0183,4.16e-05,0.00094,0.00052,0.0026,0.0316,2.93e-05,0.00029,0.00017,0.00081,0.00837,2.56e-05,0.0212,0.0357,0.00967,0.0344,0.0198,0.0806,0.863,0.00196,0.0263,0.0146,0.0729,0.885,0.000821,0.03,0.0176,0.0838,0.866,0.00265,0.0907,0.052,0.237,2.61,0.00543,25.1,33.6,28.9,29.2,10.7,10.3,17.4,23.4,20.0,20.3,0.0222
N3,0.00066,0.0004,0.00149,0.0267,4.06e-05,0.00079,0.00049,0.00168,0.0259,3.04e-05,0.00029,0.00017,0.00079,0.00693,2.45e-05,0.0293,0.0289,0.0082,0.0225,0.0137,0.0509,0.912,0.00139,0.0274,0.017,0.0582,0.896,0.00105,0.0353,0.0207,0.0963,0.845,0.00299,0.0853,0.0514,0.205,2.65,0.00543,40.4,32.7,23.9,32.4,17.9,8.77,26.6,21.5,16.8,21.6,0.0221
N3,0.00064,0.00035,0.00166,0.0251,3.84e-05,0.00076,0.0004,0.00196,0.0211,2.77e-05,0.00027,0.00014,0.00076,0.00668,2.44e-05,0.0278,0.0243,0.00787,0.023,0.0126,0.0597,0.903,0.00138,0.0313,0.0165,0.0807,0.87,0.00114,0.0343,0.0178,0.0965,0.848,0.0031,0.0886,0.0469,0.237,2.62,0.00562,39.2,27.8,24.7,30.6,15.1,8.79,27.0,19.9,18.1,21.7,0.02
N2,0.00095,0.00081,0.00147,0.0214,0.0002,0.00087,0.00081,0.00161,0.0154,0.00019,0.00031,0.00047,0.00055,0.00554,0.0002,0.0249,0.0189,0.00707,0.0382,0.0326,0.0591,0.862,0.00805,0.046,0.0428,0.0851,0.816,0.01,0.0438,0.0665,0.0778,0.784,0.0283,0.128,0.142,0.222,2.46,0.0464,22.6,17.7,17.9,19.4,14.6,10.1,13.0,10.1,7.81,10.3,0.017
N2,0.001,0.002,0.00175,0.219,0.00094,0.00106,0.00189,0.00181,0.228,0.00082,0.00114,0.00182,0.00332,0.261,0.0008,0.225,0.233,0.268,0.00445,0.00891,0.00779,0.975,0.00419,0.00455,0.00811,0.00776,0.976,0.00352,0.00425,0.00678,0.0124,0.974,0.00298,0.0132,0.0238,0.0279,2.92,0.0107,219.0,215.0,229.0,221.0,125.0,78.7,73.5,77.8,89.4,80.2,0.242
N2,0.00066,0.00061,0.00107,0.00829,0.00011,0.00082,0.00075,0.00124,0.00537,0.00011,0.00051,0.00045,0.00077,0.00284,8.12e-05,0.0107,0.00829,0.00465,0.0615,0.0568,0.0996,0.772,0.0102,0.0989,0.0905,0.15,0.648,0.0133,0.11,0.0967,0.166,0.611,0.0175,0.27,0.244,0.415,2.03,0.041,12.6,6.55,5.57,8.23,7.75,3.69,7.37,4.21,3.76,5.11,0.00789
N2,0.00085,0.0006,0.00147,0.0121,6.59e-05,0.00104,0.00079,0.00148,0.00936,7.06e-05,0.00057,0.00045,0.00098,0.00449,5.66e-05,0.0151,0.0127,0.00655,0.0564,0.0398,0.0975,0.802,0.00437,0.0816,0.062,0.116,0.735,0.00554,0.0871,0.0687,0.15,0.686,0.00865,0.225,0.171,0.363,2.22,0.0186,14.2,9.0,7.88,10.4,8.22,4.58,9.35,5.92,5.36,6.88,0.0115
N2,0.0008,0.00104,0.00121,0.00744,0.00042,0.00084,0.00078,0.00138,0.00569,0.00016,0.00054,0.0005,0.00078,0.00222,8.91e-05,0.0109,0.00885,0.00413,0.0733,0.0953,0.111,0.682,0.0385,0.0949,0.0881,0.156,0.643,0.0181,0.131,0.121,0.189,0.538,0.0216,0.299,0.305,0.456,1.86,0.0782,9.3,6.77,4.11,6.73,6.15,2.85,4.7,4.36,2.88,3.98,0.00796
N2,0.0008,0.00065,0.00146,0.0119,8.61e-05,0.00085,0.00078,0.00149,0.00838,9.06e-05,0.00052,0.00045,0.00087,0.00298,6.8e-05,0.0149,0.0116,0.00489,0.0537,0.0436,0.0979,0.799,0.00578,0.0733,0.0673,0.129,0.723,0.00782,0.106,0.0921,0.178,0.61,0.0139,0.233,0.203,0.404,2.13,0.0275,14.9,9.86,5.73,10.2,8.16,3.43,9.22,6.06,3.97,6.41,0.0105
N2,0.00077,0.00056,0.00133,0.00826,6.41e-05,0.00082,0.00066,0.00122,0.00466,6.65e-05,0.00055,0.00043,0.00086,0.00225,5.31e-05,0.011,0.00743,0.00414,0.0701,0.051,0.121,0.752,0.00584,0.11,0.0889,0.164,0.627,0.00895,0.133,0.104,0.208,0.543,0.0128,0.313,0.244,0.493,1.92,0.0276,10.7,5.68,4.09,6.83,6.21,2.62,7.21,3.97,3.17,4.79,0.00752
N2,0.00093,0.00066,0.00129,0.00979,6.15e-05,0.00081,0.00064,0.00121,0.00668,6.43e-05,0.00051,0.00043,0.00081,0.00237,5.21e-05,0.0127,0.0094,0.00417,0.073,0.0518,0.101,0.769,0.00483,0.0861,0.0681,0.129,0.71,0.00684,0.122,0.103,0.194,0.568,0.0125,0.281,0.223,0.424,2.05,0.0242,10.5,8.25,4.65,7.81,7.59,2.93,6.97,5.44,3.38,5.26,0.00877
N2,0.00067,0.0005,0.00091,0.00331,4.28e-05,0.00077,0.00061,0.00112,0.00379,5.17e-05,0.00041,0.00035,0.00063,0.00171,4.06e-05,0.00543,0.00634,0.00314,0.123,0.092,0.168,0.609,0.00788,0.121,0.0962,0.177,0.598,0.00815,0.131,0.111,0.201,0.544,0.0129,0.375,0.3,0.545,1.75,0.029,4.94,4.92,4.17,4.68,3.64,2.71,3.61,3.56,3.08,3.41,0.00497
N2,0.00072,0.00053,0.00121,0.00851,4.67e-05,0.00102,0.00078,0.00154,0.00569,6.13e-05,0.00052,0.00044,0.00071,0.00191,4.78e-05,0.011,0.00909,0.00363,0.0654,0.0481,0.11,0.772,0.00424,0.112,0.0858,0.169,0.626,0.00674,0.143,0.121,0.196,0.526,0.0132,0.321,0.255,0.475,1.92,0.0242,11.8,5.58,3.67,7.02,7.03,2.69,7.78,4.02,2.73,4.84,0.00791
N2,0.0008,0.00059,0.00123,0.012,5.32e-05,0.0009,0.00071,0.00142,0.00889,6.27e-05,0.00054,0.00042,0.00081,0.00319,4.65e-05,0.0147,0.012,0.00501,0.0545,0.0402,0.0838,0.818,0.00363,0.0751,0.0593,0.119,0.742,0.00523,0.108,0.0839,0.162,0.637,0.00929,0.237,0.183,0.364,2.2,0.0181,15.0,9.88,5.91,10.3,9.76,3.94,9.52,6.4,4.17,6.7,0.0106
